industry_section,company_name,headquarters_country,main_industry_activities,brand_name,brand_type,invoice_example,gpc_segment,gpc_family,gpc_class,gpc_brick
"D – Electricity, gas, steam and air conditioning supply",ACWA Power,Saudi Arabia,Power generation and desalinated water production,Sakaka Solar Plant,Renewable Energy,Solar Energy Supply Invoice,Utilities,Electricity,Renewable Energy,Solar Power Plant
"D – Electricity, gas, steam and air conditioning supply",National Grid SA,Saudi Arabia,Electricity transmission,Electricity Transmission Services,Service,Transmission Service Fee,Utilities,Electricity,Transmission,Electricity Transmission Services
"D – Electricity, gas, steam and air conditioning supply",National Grid SA,Saudi Arabia,Electricity transmission,Grid Maintenance,Service,Grid Maintenance Charges,Utilities,Electricity,Maintenance,Grid Maintenance Services
"D – Electricity, gas, steam and air conditioning supply",National Grid SA,Saudi Arabia,Electricity transmission,Power Infrastructure Development,Service,Infrastructure Development Fee,Utilities,Electricity,Development,Power Infrastructure Development Services
"E – Water supply; sewerage, waste management and remediation activities",Saudi Water Partnership Company,Saudi Arabia,Water supply and management,Desalinated Water Supply,Service,Desalinated Water Supply - Monthly,Utilities,Water Supply,Desalination,Desalinated Water Services
"E – Water supply; sewerage, waste management and remediation activities",Saudi Water Partnership Company,Saudi Arabia,Water supply and management,Wastewater Treatment,Service,Wastewater Treatment - Quarterly,Utilities,Water Treatment,Wastewater,Wastewater Treatment Services
"E – Water supply; sewerage, waste management and remediation activities",Saudi Water Partnership Company,Saudi Arabia,Water supply and management,Water Infrastructure Development,Service,Infrastructure Development - Project Phase 1,Construction,Infrastructure,Water Infrastructure,Water Infrastructure Projects
"E – Water supply; sewerage, waste management and remediation activities",National Water Company,Saudi Arabia,Water supply and sewerage services,Water Supply Service,Service,Monthly Water Supply Charge,Utilities,Water Services,Water Supply,Residential Water Supply
"E – Water supply; sewerage, waste management and remediation activities",National Water Company,Saudi Arabia,Water supply and sewerage services,Sewage Treatment Service,Service,Sewage Treatment Fee,Utilities,Water Services,Sewage Treatment,Residential Sewage Treatment
"E – Water supply; sewerage, waste management and remediation activities",National Water Company,Saudi Arabia,Water supply and sewerage services,Industrial Water Supply,Service,Industrial Water Supply Charge,Utilities,Water Services,Water Supply,Industrial Water Supply
"E – Water supply; sewerage, waste management and remediation activities",Saudi Investment Recycling Company,Saudi Arabia,Waste management and recycling,Recycled Plastics,Product,Recycled PET Granules,Plastics,Recycled Materials,Recycled Plastics,PET Granules
"E – Water supply; sewerage, waste management and remediation activities",Saudi Investment Recycling Company,Saudi Arabia,Waste management and recycling,Recycled Metals,Product,Recycled Aluminum Sheets,Metals,Recycled Materials,Recycled Metals,Aluminum Sheets
"E – Water supply; sewerage, waste management and remediation activities",Saudi Investment Recycling Company,Saudi Arabia,Waste management and recycling,Recycled Paper,Product,Recycled Paper Rolls,Paper,Recycled Materials,Recycled Paper,Paper Rolls
F – Construction,Saudi Binladin Group,Saudi Arabia,"General construction, civil engineering, and infrastructure projects",Construction Services,Service,Construction of residential buildings,Building and Construction,Construction Services,General Construction,Residential Building Construction
F – Construction,Saudi Binladin Group,Saudi Arabia,"General construction, civil engineering, and infrastructure projects",Project Management,Service,Project management for infrastructure projects,Business Services,Management Services,Project Management,Infrastructure Project Management
F – Construction,Saudi Binladin Group,Saudi Arabia,"General construction, civil engineering, and infrastructure projects",Facility Management,Service,Facility management for commercial properties,Business Services,Facility Management,Property Management,Commercial Property Management
F – Construction,Al Rashid Trading & Contracting Co.,Saudi Arabia,"Building construction, civil engineering, and infrastructure development",Construction Materials,Product,"Cement, Steel Bars",Building & Construction,Construction Materials,Structural Materials,Cement & Concrete Products
F – Construction,Al Rashid Trading & Contracting Co.,Saudi Arabia,"Building construction, civil engineering, and infrastructure development",Heavy Machinery Rental,Service,Excavator Rental,Rental & Leasing,Equipment Rental,Heavy Machinery Rental,Construction Equipment Rental
F – Construction,Al Rashid Trading & Contracting Co.,Saudi Arabia,"Building construction, civil engineering, and infrastructure development",Electrical Supplies,Product,"Wiring, Switches",Electrical Systems,Electrical Supplies,Wiring & Accessories,Electrical Wiring & Accessories
F – Construction,Al Harbi Trading & Contracting Co.,Saudi Arabia,"Construction of buildings, roads, and bridges",Concrete Mix,Construction Material,Concrete Mix - 50 tons,Building Materials,Concrete & Cement,Ready-Mix Concrete,Ready-Mix Concrete
F – Construction,Al Harbi Trading & Contracting Co.,Saudi Arabia,"Construction of buildings, roads, and bridges",Steel Rebars,Construction Material,Steel Rebars - 1000 kg,Building Materials,Metal,Steel,Steel Rebar
F – Construction,Al Harbi Trading & Contracting Co.,Saudi Arabia,"Construction of buildings, roads, and bridges",Electrical Wiring,Electrical Supplies,Electrical Wiring - 500 meters,Electrical Systems,Cables & Wires,Electrical Wire,Electrical Wire
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Abdullah Al Othaim Markets,Saudi Arabia,Retail trade of food and beverages,Al Othaim Rice,Food Product,Al Othaim Rice 5kg,10000000,10010000,10010100,10010101
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Abdullah Al Othaim Markets,Saudi Arabia,Retail trade of food and beverages,Al Othaim Cooking Oil,Food Product,Al Othaim Sunflower Oil 1L,10000000,10020000,10020100,10020101
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Abdullah Al Othaim Markets,Saudi Arabia,Retail trade of food and beverages,Al Othaim Detergent,Household Product,Al Othaim Liquid Detergent 2L,30000000,30010000,30010100,30010101
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Jarir Marketing Company,Saudi Arabia,"Retail trade of books, office supplies, and electronics",Apple iPhone,Electronics,iPhone 14 Pro Max,10000000,10001000,10001001,10001001
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Jarir Marketing Company,Saudi Arabia,"Retail trade of books, office supplies, and electronics",Samsung Galaxy,Electronics,Galaxy S23 Ultra,10000000,10001000,10001001,10001001
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Jarir Marketing Company,Saudi Arabia,"Retail trade of books, office supplies, and electronics",HP Laptop,Computers,HP Pavilion 15,10000000,10002000,10002001,10002001
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Almarai Company,Saudi Arabia,Wholesale trade of dairy products and beverages,Almarai Fresh Milk,Dairy Product,Almarai Fresh Milk 1L,Dairy,Milk,Fresh Milk,Whole Milk
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Almarai Company,Saudi Arabia,Wholesale trade of dairy products and beverages,Almarai Yogurt,Dairy Product,Almarai Yogurt 500g,Dairy,Yogurt,Plain Yogurt,Natural Yogurt
G – Wholesale and retail trade; repair of motor vehicles and motorcycles,Almarai Company,Saudi Arabia,Wholesale trade of dairy products and beverages,Almarai Cheese,Dairy Product,Almarai Cheese Slices 200g,Dairy,Cheese,Processed Cheese,Cheese Slices
H – Transportation and storage,Saudi Arabian Airlines,Saudi Arabia,Air transport services,Saudi Arabian Airlines Flight Ticket,Service,Flight ticket from Riyadh to Jeddah,Travel & Transportation,Air Travel,Commercial Flights,Airline Tickets
H – Transportation and storage,Saudi Arabian Airlines,Saudi Arabia,Air transport services,Saudi Arabian Airlines Cargo Service,Service,Cargo shipment from Dammam to Dubai,Logistics & Delivery,Freight Services,Air Freight,Air Cargo Services
H – Transportation and storage,Saudi Arabian Airlines,Saudi Arabia,Air transport services,Alfursan Loyalty Program,Service,Alfursan membership renewal,Travel & Transportation,Travel Services,Loyalty Programs,Frequent Flyer Programs
H – Transportation and storage,Bahri,Saudi Arabia,Shipping and logistics services,Bahri Oil Transport,Service,Crude oil shipment from Ras Tanura to Rotterdam,Logistics Services,Transport Services,Maritime Transport,Oil Tanker Services
H – Transportation and storage,Bahri,Saudi Arabia,Shipping and logistics services,Bahri Chemicals,Service,Chemical transport from Jubail to Singapore,Logistics Services,Transport Services,Maritime Transport,Chemical Tanker Services
H – Transportation and storage,Bahri,Saudi Arabia,Shipping and logistics services,Bahri Dry Bulk,Service,Grain shipment from Dammam to Alexandria,Logistics Services,Transport Services,Maritime Transport,Dry Bulk Carrier Services
H – Transportation and storage,Saudi Railway Company (SAR),Saudi Arabia,Rail transport services,Passenger Rail Service,Service,Passenger ticket for Riyadh to Dammam,Transportation Services,Passenger Transport,Rail Transport,Passenger Rail Service
H – Transportation and storage,Saudi Railway Company (SAR),Saudi Arabia,Rail transport services,Freight Rail Service,Service,Freight transport from Jeddah to Riyadh,Transportation Services,Freight Transport,Rail Transport,Freight Rail Service
H – Transportation and storage,Saudi Railway Company (SAR),Saudi Arabia,Rail transport services,Rail Infrastructure Maintenance,Service,Annual rail track maintenance contract,Construction Services,Infrastructure Maintenance,Rail Infrastructure,Rail Maintenance Service
I – Accommodation and food service activities,Almarai Company,Saudi Arabia,Food service activities,Almarai Fresh Milk,Dairy Product,Almarai Fresh Milk 1L,Dairy,Milk,Fresh Milk,Whole Milk
I – Accommodation and food service activities,Almarai Company,Saudi Arabia,Food service activities,Almarai Yogurt,Dairy Product,Almarai Yogurt 500g,Dairy,Yogurt,Plain Yogurt,Natural Yogurt
I – Accommodation and food service activities,Almarai Company,Saudi Arabia,Food service activities,Almarai Cheese,Dairy Product,Almarai Cheese Slices 200g,Dairy,Cheese,Processed Cheese,Cheese Slices
I – Accommodation and food service activities,Saudi Airlines Catering Company,Saudi Arabia,Catering services,In-flight Catering Services,Service,Catering services for flight SV123,Travel & Transportation Services,Airline Services,In-flight Services,In-flight Catering
I – Accommodation and food service activities,Saudi Airlines Catering Company,Saudi Arabia,Catering services,Airport Lounge Catering,Service,Catering for Al-Fursan Lounge,Travel & Transportation Services,Airport Services,Lounge Services,Lounge Catering
I – Accommodation and food service activities,Saudi Airlines Catering Company,Saudi Arabia,Catering services,Event Catering,Service,Catering for corporate event,Event Services,Catering Services,Event Catering,Corporate Event Catering
I – Accommodation and food service activities,Herfy Food Services Co.,Saudi Arabia,Fast food and restaurant services,Herfy Burger,Food Item,Herfy Burger - Single,Food/Beverage/Tobacco,Prepared/Preserved Foods,Prepared Meals,Burgers
I – Accommodation and food service activities,Herfy Food Services Co.,Saudi Arabia,Fast food and restaurant services,Herfy Chicken Sandwich,Food Item,Herfy Chicken Sandwich - Combo,Food/Beverage/Tobacco,Prepared/Preserved Foods,Prepared Meals,Sandwiches
I – Accommodation and food service activities,Herfy Food Services Co.,Saudi Arabia,Fast food and restaurant services,Herfy Fries,Food Item,Herfy Fries - Large,Food/Beverage/Tobacco,Prepared/Preserved Foods,Prepared Meals,French Fries
J – Information and communication,Saudi Telecom Company (STC),Saudi Arabia,"Telecommunications services, digital solutions, and information technology services",STC Mobile Plan,Service,STC Mobile Plan - 5GB Data,Telecommunications,Mobile Services,Mobile Plans,Mobile Data Plans
J – Information and communication,Saudi Telecom Company (STC),Saudi Arabia,"Telecommunications services, digital solutions, and information technology services",STC Home Internet,Service,STC Home Internet - Fiber 100Mbps,Telecommunications,Internet Services,Home Internet,Fiber Internet Plans
J – Information and communication,Saudi Telecom Company (STC),Saudi Arabia,"Telecommunications services, digital solutions, and information technology services",STC Prepaid Recharge,Product,STC Prepaid Recharge - 50 SAR,Telecommunications,Mobile Services,Prepaid Services,Prepaid Mobile Recharge
J – Information and communication,Mobily,Saudi Arabia,Mobile telecommunications services and digital solutions,Mobily Prepaid SIM,Telecommunications,Mobily Prepaid SIM Card,Telecommunications,Mobile Communications,Mobile Services,Prepaid Mobile Services
J – Information and communication,Mobily,Saudi Arabia,Mobile telecommunications services and digital solutions,Mobily Postpaid Plan,Telecommunications,Mobily Postpaid Plan Subscription,Telecommunications,Mobile Communications,Mobile Services,Postpaid Mobile Services
J – Information and communication,Mobily,Saudi Arabia,Mobile telecommunications services and digital solutions,Mobily Fiber Internet,Internet Services,Mobily Fiber Internet Subscription,Telecommunications,Internet Services,Broadband Services,Fiber Internet Services
J – Information and communication,Zain Saudi Arabia,Saudi Arabia,Mobile telecommunications services and broadband internet,Zain Prepaid Mobile Plan,Telecommunications Service,Zain Prepaid Mobile Plan - 100 SAR,Telecommunications,Mobile Services,Prepaid Mobile Plans,Prepaid Mobile Service Plans
J – Information and communication,Zain Saudi Arabia,Saudi Arabia,Mobile telecommunications services and broadband internet,Zain Postpaid Mobile Plan,Telecommunications Service,Zain Postpaid Mobile Plan - 200 SAR,Telecommunications,Mobile Services,Postpaid Mobile Plans,Postpaid Mobile Service Plans
J – Information and communication,Zain Saudi Arabia,Saudi Arabia,Mobile telecommunications services and broadband internet,Zain Internet Data Package,Telecommunications Service,Zain Internet Data Package - 50 SAR,Telecommunications,Internet Services,Data Packages,Mobile Data Plans
K – Financial and insurance activities,Saudi Arabian Monetary Authority,Saudi Arabia,"Central banking, financial regulation",Saudi Riyal Currency,Currency,Currency exchange services,Financial Services,Currency Exchange,Currency,Currency Exchange Services
K – Financial and insurance activities,Saudi Arabian Monetary Authority,Saudi Arabia,"Central banking, financial regulation",Monetary Policy Reports,Report,Subscription to monetary policy reports,Information Services,Reports,Financial Reports,Monetary Reports
K – Financial and insurance activities,Saudi Arabian Monetary Authority,Saudi Arabia,"Central banking, financial regulation",Bank Supervision Services,Service,Bank supervision and regulation fees,Financial Services,Regulatory Services,Bank Regulation,Bank Supervision Services
K – Financial and insurance activities,Al Rajhi Bank,Saudi Arabia,"Banking, financial services",Al Rajhi Personal Loan,Financial Service,Personal Loan Processing Fee,Financial Services,Loan Services,Personal Loans,Personal Loan Services
K – Financial and insurance activities,Al Rajhi Bank,Saudi Arabia,"Banking, financial services",Al Rajhi Credit Card,Financial Product,Credit Card Annual Fee,Financial Services,Credit Card Services,Credit Cards,Credit Card Issuance
K – Financial and insurance activities,Al Rajhi Bank,Saudi Arabia,"Banking, financial services",Al Rajhi Car Lease,Financial Service,Car Lease Monthly Payment,Financial Services,Leasing Services,Vehicle Leasing,Car Leasing Services
K – Financial and insurance activities,National Commercial Bank,Saudi Arabia,"Banking, financial services",Current Account Services,Financial Service,Monthly account maintenance fee,Financial Services,Banking,Account Services,Current Accounts
K – Financial and insurance activities,National Commercial Bank,Saudi Arabia,"Banking, financial services",Savings Account Services,Financial Service,Interest payment,Financial Services,Banking,Account Services,Savings Accounts
K – Financial and insurance activities,National Commercial Bank,Saudi Arabia,"Banking, financial services",Personal Loans,Financial Product,Loan disbursement,Financial Services,Lending,Personal Loans,Unsecured Personal Loans
L – Real estate activities,Saudi Real Estate Company (Al Akaria),Saudi Arabia,Real estate development and management,Residential Apartments,Real Estate,Invoice for Residential Apartment Sale,Real Estate,Residential Property,Apartments,Residential Apartments
L – Real estate activities,Saudi Real Estate Company (Al Akaria),Saudi Arabia,Real estate development and management,Commercial Offices,Real Estate,Invoice for Commercial Office Lease,Real Estate,Commercial Property,Offices,Commercial Offices
L – Real estate activities,Saudi Real Estate Company (Al Akaria),Saudi Arabia,Real estate development and management,Retail Spaces,Real Estate,Invoice for Retail Space Lease,Real Estate,Commercial Property,Retail,Retail Spaces
L – Real estate activities,Jabal Omar Development Company,Saudi Arabia,Real estate development and investment,Jabal Omar Hotels,Service,Hotel accommodation charges,Travel & Tourism,Accommodation,Hotels,Luxury Hotels
L – Real estate activities,Jabal Omar Development Company,Saudi Arabia,Real estate development and investment,Jabal Omar Malls,Service,Retail space rental,Real Estate,Commercial Property,Shopping Centers,Retail Malls
L – Real estate activities,Jabal Omar Development Company,Saudi Arabia,Real estate development and investment,Jabal Omar Residential Units,Product,Residential unit sales,Real Estate,Residential Property,Apartments,Luxury Apartments
L – Real estate activities,Dar Al Arkan Real Estate Development Company,Saudi Arabia,Real estate development and sales,Residential Apartments,Real Estate,Invoice for Apartment Sale,Real Estate,Residential,Apartments,Residential Apartments
L – Real estate activities,Dar Al Arkan Real Estate Development Company,Saudi Arabia,Real estate development and sales,Commercial Spaces,Real Estate,Invoice for Commercial Space Lease,Real Estate,Commercial,Office Spaces,Commercial Office Spaces
L – Real estate activities,Dar Al Arkan Real Estate Development Company,Saudi Arabia,Real estate development and sales,Retail Units,Real Estate,Invoice for Retail Unit Lease,Real Estate,Commercial,Retail Spaces,Retail Units
"M – Professional, scientific and technical activities",Saudi Aramco,Saudi Arabia,Engineering and technical consultancy services,Crude Oil,Commodity,Crude Oil - Arabian Light,Energy & Utilities,Fuels,Petroleum,Crude Oil
"M – Professional, scientific and technical activities",Saudi Aramco,Saudi Arabia,Engineering and technical consultancy services,Natural Gas,Commodity,Natural Gas - Methane,Energy & Utilities,Fuels,Natural Gas,Natural Gas
"M – Professional, scientific and technical activities",Saudi Aramco,Saudi Arabia,Engineering and technical consultancy services,Petrochemicals,Product,Polyethylene,Chemicals,Plastics & Resins,Polyethylene,Polyethylene
"M – Professional, scientific and technical activities",SABIC,Saudi Arabia,Scientific research and development services,SABIC Polyethylene,Product,Polyethylene HDPE 5502,Chemicals,Plastics,Polyethylene,High Density Polyethylene
"M – Professional, scientific and technical activities",SABIC,Saudi Arabia,Scientific research and development services,SABIC Polypropylene,Product,Polypropylene PP 520L,Chemicals,Plastics,Polypropylene,Polypropylene Homopolymer
"M – Professional, scientific and technical activities",SABIC,Saudi Arabia,Scientific research and development services,SABIC Urea,Product,Urea Granular,Chemicals,Fertilizers,Nitrogen Fertilizers,Urea
"M – Professional, scientific and technical activities",Almarai,Saudi Arabia,Veterinary services,Almarai Fresh Milk,Dairy Product,Almarai Fresh Milk 1L,Beverages,Dairy,Milk,Fresh Milk
"M – Professional, scientific and technical activities",Almarai,Saudi Arabia,Veterinary services,Almarai Cheese Slices,Dairy Product,Almarai Cheese Slices 200g,Food,Dairy,Cheese,Cheese Slices
"M – Professional, scientific and technical activities",Almarai,Saudi Arabia,Veterinary services,Almarai Yogurt,Dairy Product,Almarai Yogurt 500g,Food,Dairy,Yogurt,Plain Yogurt
N – Administrative and support service activities,Saudi Oger Ltd.,Saudi Arabia,"Facilities management, construction, and maintenance services",Construction Services,Service,Construction of residential buildings,Building and Construction,Construction Services,General Construction,Residential Building Construction
N – Administrative and support service activities,Saudi Oger Ltd.,Saudi Arabia,"Facilities management, construction, and maintenance services",Facility Management,Service,Maintenance of commercial properties,Facility Management,Property Management,Facility Services,Commercial Property Maintenance
N – Administrative and support service activities,Saudi Oger Ltd.,Saudi Arabia,"Facilities management, construction, and maintenance services",Telecommunications Infrastructure,Service,Installation of telecom networks,Telecommunications,Infrastructure Services,Network Installation,Telecom Network Installation
N – Administrative and support service activities,Almarai Company,Saudi Arabia,Support services for agriculture and food production,Almarai Fresh Milk,Dairy Product,Almarai Fresh Milk 1L,Dairy,Milk,Fresh Milk,Whole Milk
N – Administrative and support service activities,Almarai Company,Saudi Arabia,Support services for agriculture and food production,Almarai Yogurt,Dairy Product,Almarai Yogurt 500g,Dairy,Yogurt,Plain Yogurt,Natural Yogurt
N – Administrative and support service activities,Almarai Company,Saudi Arabia,Support services for agriculture and food production,Almarai Cheese,Dairy Product,Almarai Cheese Slices 200g,Dairy,Cheese,Processed Cheese,Cheese Slices
N – Administrative and support service activities,Al Khodari Sons Company,Saudi Arabia,Construction and infrastructure support services,Construction Services,Service,Construction of residential buildings,Building and Construction,Construction Services,General Construction,Residential Building Construction
N – Administrative and support service activities,Al Khodari Sons Company,Saudi Arabia,Construction and infrastructure support services,Heavy Equipment Rental,Service,Rental of cranes and excavators,Rental Services,Equipment Rental,Heavy Equipment Rental,Crane Rental
N – Administrative and support service activities,Al Khodari Sons Company,Saudi Arabia,Construction and infrastructure support services,Road Construction,Service,Asphalt paving and road maintenance,Building and Construction,Infrastructure Construction,Road Construction,Highway Construction
O – Public administration and defence; compulsory social security,Saudi Arabian Military Industries (SAMI),Saudi Arabia,Defense manufacturing and services,SAMI Armored Vehicles,Product,SAMI Armored Vehicle Model X,Defense,Vehicles,Armored Vehicles,Military Vehicles
O – Public administration and defence; compulsory social security,Saudi Arabian Military Industries (SAMI),Saudi Arabia,Defense manufacturing and services,SAMI Aerospace Components,Product,SAMI Jet Engine Part Y,Aerospace,Components,Engine Parts,Aircraft Components
O – Public administration and defence; compulsory social security,Saudi Arabian Military Industries (SAMI),Saudi Arabia,Defense manufacturing and services,SAMI Weapon Systems,Product,SAMI Missile System Z,Defense,Weapons,Missile Systems,Guided Missiles
O – Public administration and defence; compulsory social security,Advanced Electronics Company (AEC),Saudi Arabia,Defense electronics and systems integration,AEC Radar Systems,Product,Radar System Model X,Electronics,Communication Devices,Radar Equipment,Radar Systems
